project_type,state,district,land_area_acres,affected_families,ownership_complexity,documentation_completeness,legal_dispute,compensation_status,approval_status,rehabilitation_status,possession_status,stakeholder_responsiveness,administrative_processing_days,historical_delay_rate,is_delayed,delay_duration_days
Water Resources,Odisha,Sundargarh,54.52,40,0.48,0.48,0,0.85,0.36,0.84,0.45,0.91,132,0.35,0,0
Urban Infrastructure,West Bengal,Murshidabad,12.78,41,0.94,0.56,0,0.12,0.89,0.97,0.35,0.51,149,0.17,1,192
Water Resources,Bihar,Darbhanga,13.62,25,0.4,0.53,0,0.37,0.93,0.27,0.91,0.71,199,0.13,0,0
Industrial Corridors,Tamil Nadu,Tiruchirappalli,27.2,41,0.65,0.54,0,0.15,0.86,0.86,0.66,0.93,108,0.56,0,0
Railways,Rajasthan,Jaipur,24.6,44,0.22,0.55,0,1.0,0.48,0.6,0.46,0.95,136,0.51,1,141
Railways,Rajasthan,Kota,32.69,59,0.16,0.97,1,0.49,0.92,0.39,0.73,0.25,175,0.61,0,0
Solar Parks,West Bengal,Paschim Bardhaman,26.22,67,0.84,0.35,0,0.7,0.19,0.53,0.75,0.62,133,0.4,1,257
Railways,Madhya Pradesh,Bhopal,37.64,45,0.72,0.8,1,0.31,0.69,0.95,0.48,0.74,216,0.3,0,0
Highways,Tamil Nadu,Coimbatore,88.01,54,0.37,0.63,0,0.94,0.94,0.72,0.12,0.34,212,0.11,0,0
Solar Parks,Rajasthan,Jodhpur,50.94,81,0.53,0.52,0,0.35,0.78,0.42,0.75,0.82,214,0.56,0,0
Railways,Tamil Nadu,Tiruchirappalli,34.64,69,0.22,0.69,0,0.33,0.35,1.0,0.13,0.55,189,0.32,0,0
Highways,Uttar Pradesh,Varanasi,13.66,20,0.7,0.87,1,0.38,0.75,0.41,0.81,0.57,203,0.39,0,0
Urban Infrastructure,Tamil Nadu,Salem,18.59,54,0.16,0.56,0,0.52,0.37,0.83,0.35,0.41,161,0.24,0,0
Railways,Gujarat,Kutch,64.94,50,0.74,0.87,0,0.12,0.2,0.81,0.62,0.43,134,0.36,0,0
Highways,Bihar,Gaya,22.76,40,0.56,0.27,0,0.64,0.75,0.75,0.72,0.26,137,0.52,0,0
Mining,Rajasthan,Jaipur,15.27,34,0.34,0.71,0,0.13,0.26,0.7,0.08,0.9,90,0.48,1,193
Industrial Corridors,Tamil Nadu,Madurai,177.4,222,0.83,0.46,0,0.59,0.2,0.2,0.4,0.49,144,0.64,1,317
Mining,West Bengal,Howrah,112.12,80,0.94,0.5,1,0.51,0.6,1.0,0.59,0.32,146,0.35,1,238
Highways,Maharashtra,Nashik,29.98,52,0.32,0.65,0,0.32,0.66,0.24,0.81,0.31,152,0.37,0,0
Solar Parks,Gujarat,Kutch,13.93,30,0.79,0.57,0,0.4,0.15,0.64,0.7,0.51,273,0.08,0,0
Water Resources,Gujarat,Surat,59.07,80,0.74,0.5,0,0.74,0.1,0.32,0.86,0.67,127,0.28,0,0
Water Resources,Madhya Pradesh,Ujjain,22.38,41,0.74,0.44,0,0.11,0.89,0.25,0.12,0.78,150,0.6,1,239
Water Resources,Tamil Nadu,Salem,67.41,57,0.91,0.68,0,0.38,0.2,0.6,0.11,0.89,256,0.26,1,204
Solar Parks,Madhya Pradesh,Indore,22.39,47,0.51,0.59,1,0.71,0.63,0.85,0.69,0.68,129,0.51,1,207
Railways,Madhya Pradesh,Indore,123.51,244,0.67,0.45,0,0.24,0.96,0.44,0.41,0.52,113,0.64,1,197
Water Resources,Maharashtra,Nashik,21.87,45,0.8,0.36,0,0.6,0.56,0.17,0.48,0.52,151,0.13,1,261
Mining,Uttar Pradesh,Kanpur,219.6,261,0.51,0.8,1,0.25,0.23,0.66,0.59,0.63,128,0.25,0,0
Solar Parks,Tamil Nadu,Madurai,38.71,90,0.51,0.82,0,0.24,0.45,0.79,0.94,0.6,209,0.33,0,0
Solar Parks,Odisha,Sundargarh,100.23,73,0.37,0.37,1,0.8,0.66,0.37,0.11,0.68,166,0.19,0,0
Water Resources,Rajasthan,Kota,21.5,47,0.76,0.4,0,0.34,0.79,0.72,0.15,0.58,110,0.06,0,0
Mining,Madhya Pradesh,Gwalior,11.6,14,0.68,0.39,0,0.44,0.65,0.17,0.8,0.24,174,0.33,1,210
Urban Infrastructure,Bihar,Bhagalpur,5.23,23,0.48,0.89,0,0.76,0.13,0.43,0.07,0.58,168,0.37,1,211
Solar Parks,Karnataka,Ballari,91.95,153,0.46,0.8,1,0.26,0.23,0.53,0.46,0.22,98,0.43,1,247
Water Resources,Bihar,Muzaffarpur,34.97,67,0.16,0.26,0,0.58,0.43,0.8,0.75,0.34,180,0.55,1,169
Industrial Corridors,Maharashtra,Pune,12.21,15,0.11,0.85,0,0.93,0.74,0.4,0.23,0.49,182,0.2,1,245
Highways,Maharashtra,Nashik,95.07,99,0.55,0.23,1,0.6,0.63,0.51,0.22,0.61,99,0.09,1,238
Railways,West Bengal,Hooghly,83.5,75,0.45,0.4,0,0.14,0.14,0.67,0.33,0.34,105,0.1,1,221
Solar Parks,Uttar Pradesh,Kanpur,100.07,135,0.78,0.92,1,0.63,0.82,0.66,0.19,0.41,144,0.35,1,271
Industrial Corridors,Rajasthan,Kota,11.34,12,0.56,0.87,0,0.18,0.64,0.57,0.66,0.48,132,0.6,1,196
Industrial Corridors,Madhya Pradesh,Ujjain,89.76,49,0.9,0.81,0,0.35,0.9,0.4,0.23,0.35,186,0.64,1,235
Solar Parks,Bihar,Patna,45.03,83,0.27,0.56,0,0.86,0.48,0.7,0.25,0.95,140,0.17,1,139
Urban Infrastructure,Karnataka,Dakshina Kannada,103.76,176,0.94,0.45,1,0.11,0.54,0.85,0.57,0.8,152,0.14,1,250
Highways,Maharashtra,Nagpur,51.12,102,0.35,0.89,0,0.17,0.46,0.24,0.92,0.81,112,0.26,0,0
Railways,Maharashtra,Nashik,38.03,96,0.65,0.71,1,0.43,0.75,0.41,0.87,0.63,202,0.33,0,0
Solar Parks,Uttar Pradesh,Varanasi,90.74,138,0.53,0.43,0,1.0,0.78,0.7,0.83,0.92,125,0.53,0,0
Railways,Karnataka,Belagavi,65.47,48,0.41,0.56,0,0.36,0.75,0.78,0.53,0.75,113,0.51,1,184
Mining,Karnataka,Dakshina Kannada,78.68,138,0.22,0.89,1,0.24,0.36,0.8,0.32,0.45,162,0.6,1,284
Industrial Corridors,Uttar Pradesh,Agra,22.41,28,0.21,0.9,0,0.59,0.67,0.69,0.69,0.66,208,0.56,0,0
Industrial Corridors,Maharashtra,Thane,28.85,61,0.7,0.71,1,0.57,0.4,0.53,0.4,0.61,180,0.31,1,377
Solar Parks,Rajasthan,Udaipur,8.27,31,0.42,0.77,0,0.5,0.85,0.68,0.75,0.64,134,0.06,0,0
Solar Parks,Tamil Nadu,Salem,21.16,44,0.92,0.23,0,0.95,0.15,0.22,0.06,0.81,141,0.19,1,202
Mining,Tamil Nadu,Tiruchirappalli,62.32,65,0.38,0.67,1,0.35,0.13,0.29,0.53,0.58,99,0.42,1,250
Urban Infrastructure,Uttar Pradesh,Agra,52.01,32,0.94,0.74,1,0.36,0.19,0.93,0.35,0.75,246,0.35,1,239
Solar Parks,Karnataka,Dakshina Kannada,15.13,21,0.27,0.22,0,0.23,0.28,0.93,0.27,0.39,229,0.19,1,205
Industrial Corridors,Madhya Pradesh,Bhopal,92.38,64,0.19,0.86,0,0.73,0.13,0.75,0.65,0.9,172,0.13,0,0
Railways,Uttar Pradesh,Gorakhpur,357.26,640,0.37,0.92,0,0.39,0.16,0.39,0.64,0.26,159,0.18,1,212
Highways,Rajasthan,Jaipur,16.08,28,0.85,0.39,0,0.82,0.38,0.68,0.08,0.95,109,0.21,0,0
Water Resources,Uttar Pradesh,Lucknow,28.09,51,0.54,0.86,1,0.97,0.19,0.72,0.9,0.67,153,0.57,1,230
Railways,Gujarat,Ahmedabad,20.14,44,0.22,0.72,0,0.14,0.82,0.56,0.38,0.55,200,0.48,1,238
Urban Infrastructure,Bihar,Muzaffarpur,30.69,52,0.27,0.65,0,0.99,0.15,0.77,0.88,0.43,192,0.38,0,0
Highways,Karnataka,Belagavi,41.23,54,0.36,0.86,1,0.33,0.92,0.13,0.58,0.5,139,0.06,1,212
Railways,West Bengal,Howrah,18.96,25,0.6,0.42,0,0.48,0.88,0.33,0.64,0.79,196,0.54,0,0
Railways,West Bengal,Murshidabad,26.53,53,0.38,0.82,0,0.8,0.29,0.82,0.91,0.3,212,0.38,0,0
Mining,Karnataka,Belagavi,35.51,65,0.73,0.45,0,0.7,0.16,0.94,0.79,0.39,161,0.43,0,0
Water Resources,Rajasthan,Jodhpur,48.29,72,0.62,0.81,1,0.8,0.19,0.89,0.18,0.29,204,0.09,1,267
Urban Infrastructure,Gujarat,Ahmedabad,107.04,189,0.84,0.55,0,0.52,0.6,0.74,0.05,0.52,234,0.54,1,201
Industrial Corridors,Gujarat,Kutch,32.73,24,0.53,0.29,0,0.92,0.64,0.25,0.33,0.49,246,0.55,1,217
Mining,Maharashtra,Pune,21.13,34,0.38,0.5,0,0.81,0.38,0.43,0.49,0.69,132,0.58,0,0
Highways,Bihar,Muzaffarpur,57.8,36,0.95,0.38,0,0.38,0.37,0.15,0.71,0.95,179,0.37,1,251
Water Resources,Tamil Nadu,Tiruchirappalli,45.61,87,0.4,0.28,0,0.95,0.58,0.68,0.64,0.87,191,0.29,0,0
Industrial Corridors,Odisha,Cuttack,28.38,20,0.46,0.29,0,0.96,0.38,0.5,0.33,0.86,159,0.09,0,0
Mining,Rajasthan,Jodhpur,48.81,31,0.79,0.81,1,0.47,0.94,0.62,0.54,0.68,215,0.17,0,0
Water Resources,Odisha,Bhubaneswar,24.37,37,0.18,0.89,0,0.69,0.44,0.98,0.64,0.4,162,0.19,0,0
Urban Infrastructure,Odisha,Bhubaneswar,21.66,35,0.43,0.92,0,0.83,0.3,0.46,0.51,0.49,153,0.09,0,0
Solar Parks,Karnataka,Mysuru,7.25,36,0.17,0.87,0,0.84,0.23,0.38,0.67,0.39,100,0.14,0,0
Solar Parks,West Bengal,Paschim Bardhaman,25.47,26,0.22,0.85,1,0.11,0.67,0.24,0.49,0.3,83,0.58,1,226
Highways,West Bengal,Hooghly,8.08,23,0.1,0.25,0,0.67,0.39,0.23,0.53,0.53,144,0.38,1,175
Solar Parks,Tamil Nadu,Madurai,19.86,22,0.11,0.82,1,0.98,0.27,0.57,0.9,0.87,30,0.51,1,174
Mining,Karnataka,Belagavi,52.65,90,0.42,0.81,0,0.31,0.35,0.77,0.4,0.76,216,0.22,1,212
Highways,Odisha,Jharsuguda,9.93,27,0.79,0.3,1,0.82,0.38,0.61,0.73,0.94,199,0.13,1,227
Industrial Corridors,Madhya Pradesh,Ujjain,28.45,24,0.6,0.72,0,0.58,0.66,0.89,0.35,0.35,191,0.27,1,217
Urban Infrastructure,West Bengal,Murshidabad,34.9,45,0.64,0.55,1,0.3,0.26,0.38,0.35,0.58,210,0.53,0,0
Highways,Rajasthan,Jaipur,27.36,25,0.54,0.9,0,0.15,0.76,0.64,0.88,0.79,147,0.23,0,0
Industrial Corridors,Rajasthan,Bhilwara,22.53,63,0.8,0.74,1,0.78,0.37,0.7,0.68,0.55,169,0.17,0,0
Highways,Maharashtra,Nagpur,42.96,49,0.85,0.94,0,0.38,0.54,0.35,0.89,0.47,143,0.06,0,0
Railways,Uttar Pradesh,Gorakhpur,48.0,83,0.82,0.28,0,0.44,0.69,0.46,0.95,0.81,209,0.42,0,0
Railways,Madhya Pradesh,Ujjain,33.16,52,0.79,0.23,0,0.54,0.59,0.63,0.05,0.52,45,0.31,1,206
Highways,West Bengal,North 24 Parganas,23.56,39,0.26,0.96,0,0.56,0.7,0.12,0.93,0.88,209,0.21,0,0
Water Resources,Gujarat,Rajkot,66.14,112,0.6,0.26,0,0.29,0.39,0.9,0.14,0.4,78,0.36,1,257
Solar Parks,West Bengal,Murshidabad,11.6,23,0.59,0.5,0,0.7,0.97,0.2,0.11,0.87,150,0.47,0,0
Railways,Maharashtra,Aurangabad,57.39,92,0.55,0.71,0,0.72,0.51,0.14,0.74,0.41,112,0.2,0,0
Water Resources,Rajasthan,Kota,46.33,52,0.51,0.89,0,0.23,0.39,0.29,0.37,0.42,153,0.42,1,195
Water Resources,Odisha,Jharsuguda,38.83,57,0.18,0.4,0,0.58,0.37,0.55,0.88,0.52,135,0.21,0,0
Urban Infrastructure,Gujarat,Rajkot,32.85,49,0.19,0.22,1,0.65,0.14,0.4,0.54,0.59,142,0.64,1,247
Industrial Corridors,Karnataka,Bengaluru Urban,7.3,21,0.87,0.61,0,0.27,0.72,0.5,0.4,0.51,184,0.49,1,230
Mining,Bihar,Gaya,100.47,146,0.64,0.57,0,0.91,0.34,0.18,0.12,0.85,170,0.41,1,184
Railways,Odisha,Jharsuguda,64.78,62,0.32,0.44,0,0.53,0.96,0.31,0.47,0.8,204,0.15,0,0
Highways,Bihar,Gaya,15.35,27,0.34,0.88,0,0.2,0.29,0.19,0.3,0.43,178,0.4,0,0
Solar Parks,Madhya Pradesh,Bhopal,60.77,52,0.62,0.78,0,0.4,0.58,0.31,0.12,0.58,88,0.53,1,218
Mining,Uttar Pradesh,Lucknow,38.52,48,0.45,0.87,0,0.53,0.76,0.73,0.65,0.52,265,0.49,0,0
Industrial Corridors,Gujarat,Vadodara,20.77,58,0.48,0.33,0,0.11,0.88,0.62,0.93,0.24,70,0.52,0,0
Water Resources,Tamil Nadu,Kanchipuram,85.92,139,0.15,0.74,0,0.13,0.24,0.4,0.39,0.76,174,0.24,1,189
Industrial Corridors,Gujarat,Kutch,23.46,40,0.22,0.96,0,0.15,0.99,0.34,0.32,0.34,193,0.25,0,0
Railways,West Bengal,Murshidabad,97.99,159,0.43,0.68,1,0.58,0.92,1.0,0.13,0.9,173,0.37,1,247
Industrial Corridors,Rajasthan,Udaipur,50.78,94,0.69,0.33,0,0.4,0.97,0.79,0.25,0.5,150,0.22,1,246
Industrial Corridors,West Bengal,Paschim Bardhaman,71.18,48,0.14,0.98,0,0.9,0.87,0.84,0.31,0.67,226,0.12,0,0
Solar Parks,West Bengal,Howrah,52.63,74,0.38,0.61,0,0.6,0.89,0.12,0.36,0.81,210,0.33,0,0
Water Resources,Madhya Pradesh,Ujjain,50.71,69,0.69,0.86,0,0.78,0.64,0.15,0.62,0.34,159,0.05,1,184
Solar Parks,Odisha,Bhubaneswar,39.34,22,0.77,0.32,0,0.72,0.86,0.74,0.15,0.61,139,0.51,0,0
Solar Parks,Tamil Nadu,Kanchipuram,18.51,22,0.26,0.72,0,0.57,0.58,0.27,0.1,0.38,123,0.5,0,0
Highways,Tamil Nadu,Madurai,34.81,40,0.72,0.91,0,0.77,0.58,0.48,0.89,0.58,126,0.38,1,144
Industrial Corridors,West Bengal,Paschim Bardhaman,68.93,85,0.91,0.61,0,0.59,0.61,0.27,0.77,0.63,157,0.5,0,0
Industrial Corridors,Bihar,Patna,58.87,117,0.87,0.43,0,0.45,1.0,0.26,0.3,0.33,85,0.42,1,218
Industrial Corridors,Madhya Pradesh,Gwalior,49.45,84,0.77,0.3,0,0.49,0.19,0.2,0.62,0.64,159,0.47,1,241
Urban Infrastructure,West Bengal,Murshidabad,6.19,28,0.71,0.43,0,0.85,0.83,0.63,0.58,0.54,196,0.09,0,0
Solar Parks,Uttar Pradesh,Gorakhpur,27.92,38,0.3,0.48,0,0.61,0.35,0.77,0.72,0.59,134,0.58,1,174
Mining,Rajasthan,Udaipur,25.67,22,0.64,0.75,0,0.44,0.43,0.15,0.82,0.88,158,0.44,0,0
Railways,Odisha,Jharsuguda,13.7,38,0.65,0.34,1,0.26,0.17,0.35,0.37,0.56,173,0.42,1,343
Water Resources,Karnataka,Ballari,68.24,107,0.45,0.28,1,0.55,0.42,0.69,0.64,0.56,181,0.28,0,0
Mining,Uttar Pradesh,Lucknow,6.55,4,0.52,0.5,0,0.33,0.99,0.45,0.77,0.55,150,0.07,1,146
Water Resources,Bihar,Darbhanga,64.67,77,0.69,0.56,0,0.96,0.46,0.73,0.68,0.67,239,0.59,1,188
Highways,Gujarat,Ahmedabad,95.91,176,0.91,0.69,1,0.54,0.7,0.78,0.88,0.48,160,0.64,0,0
Highways,Gujarat,Rajkot,28.0,51,0.35,0.75,0,0.11,0.21,0.13,0.5,0.8,100,0.53,0,0
Water Resources,Uttar Pradesh,Kanpur,31.2,65,0.31,0.89,1,0.18,0.93,0.44,0.77,0.41,142,0.6,0,0
Industrial Corridors,West Bengal,Paschim Bardhaman,71.81,124,0.61,0.43,0,0.36,0.84,0.76,0.87,0.42,218,0.12,0,0
Mining,Karnataka,Bengaluru Urban,17.98,17,0.21,0.61,0,0.18,0.45,0.44,0.55,0.64,214,0.13,0,0
Industrial Corridors,Maharashtra,Nagpur,56.18,37,0.6,0.49,0,0.9,0.41,0.11,0.07,0.39,82,0.58,1,203
Urban Infrastructure,Maharashtra,Aurangabad,15.89,27,0.18,0.2,0,0.87,0.49,0.4,0.79,0.27,146,0.08,0,0
Highways,Bihar,Muzaffarpur,12.5,31,0.52,0.65,0,0.97,0.46,0.89,0.81,0.35,136,0.11,1,235
Highways,West Bengal,Howrah,41.96,53,0.63,0.84,0,0.74,0.33,0.96,0.41,0.89,195,0.54,0,0
Mining,Tamil Nadu,Kanchipuram,32.42,26,0.16,0.23,0,0.68,0.99,0.6,0.26,0.21,108,0.38,0,0
Highways,Tamil Nadu,Madurai,8.36,23,0.28,0.2,1,0.93,0.83,0.38,0.93,0.3,230,0.29,0,0
Urban Infrastructure,Odisha,Jharsuguda,102.74,64,0.39,0.77,0,0.95,0.34,0.52,0.55,0.77,93,0.38,0,0
Urban Infrastructure,Karnataka,Bengaluru Urban,23.77,14,0.41,0.73,1,0.89,0.98,0.31,0.51,0.93,153,0.58,1,223
Urban Infrastructure,Karnataka,Mysuru,49.83,44,0.67,0.52,0,0.88,0.11,0.25,0.9,0.72,105,0.5,0,0
Railways,Gujarat,Vadodara,119.6,121,0.55,0.72,0,0.7,0.49,0.54,0.42,0.89,189,0.46,0,0
Urban Infrastructure,Madhya Pradesh,Indore,40.37,36,0.42,0.94,1,0.1,0.61,0.76,0.81,0.84,67,0.64,1,203
Urban Infrastructure,Bihar,Gaya,91.71,57,0.48,0.39,0,0.49,0.13,0.3,0.68,0.56,152,0.36,0,0
Railways,Maharashtra,Thane,16.6,30,0.11,0.39,0,0.67,0.24,0.92,0.92,0.45,151,0.05,0,0
Industrial Corridors,Bihar,Gaya,103.21,144,0.75,0.35,1,0.59,0.33,0.25,0.44,0.67,119,0.31,1,270
Solar Parks,Tamil Nadu,Coimbatore,17.1,30,0.13,0.76,0,0.84,0.75,0.6,0.87,0.6,214,0.11,0,0
Highways,Tamil Nadu,Kanchipuram,20.97,30,0.8,0.48,1,0.84,0.95,0.8,0.56,0.22,236,0.12,0,0
Urban Infrastructure,Uttar Pradesh,Gorakhpur,10.34,31,0.56,0.97,1,0.64,0.66,0.29,0.48,0.92,141,0.2,1,204
Highways,Odisha,Angul,41.05,23,0.55,0.76,1,0.12,0.61,0.37,0.33,0.63,165,0.28,1,309
Mining,Karnataka,Dakshina Kannada,54.86,36,0.7,0.49,1,0.43,0.58,0.15,0.55,0.86,132,0.34,1,250
Highways,Rajasthan,Jodhpur,61.16,107,0.83,0.32,1,0.31,0.42,0.95,0.57,0.75,103,0.15,1,224
Water Resources,Bihar,Patna,10.54,9,0.9,0.66,0,0.4,0.84,0.54,0.86,0.46,109,0.24,1,155
Industrial Corridors,Tamil Nadu,Madurai,44.7,53,0.56,0.43,0,0.66,0.59,0.16,0.68,0.88,110,0.22,1,296
Railways,Madhya Pradesh,Bhopal,46.04,53,0.23,0.91,0,0.16,0.31,0.85,0.79,0.79,216,0.27,0,0
Highways,Gujarat,Surat,54.15,119,0.85,0.54,0,0.12,0.22,0.61,0.74,0.52,179,0.11,0,0
Highways,Maharashtra,Pune,17.85,58,0.13,0.43,0,0.49,0.99,0.15,0.3,0.83,117,0.29,0,0
Highways,Odisha,Cuttack,4.46,27,0.79,0.66,1,0.81,0.12,0.51,0.24,0.4,121,0.38,1,290
Solar Parks,Madhya Pradesh,Bhopal,58.28,43,0.68,0.31,1,0.13,0.94,0.49,0.28,0.7,115,0.11,1,240
Solar Parks,Odisha,Cuttack,29.47,57,0.87,0.64,0,0.86,0.3,0.23,0.18,0.29,75,0.36,1,193
Mining,Uttar Pradesh,Agra,41.44,45,0.86,0.24,0,0.45,0.69,0.48,0.4,0.85,183,0.5,0,0
Railways,Rajasthan,Bhilwara,30.7,49,0.15,0.67,0,0.21,0.37,0.35,0.64,0.75,154,0.05,1,189
Highways,Tamil Nadu,Kanchipuram,39.95,57,0.62,0.61,0,0.61,0.87,0.73,0.53,0.31,236,0.08,1,177
Highways,Gujarat,Rajkot,59.72,37,0.21,0.61,0,0.96,0.59,0.1,0.66,0.22,66,0.33,0,0
Highways,Madhya Pradesh,Indore,7.5,38,0.17,0.73,0,0.59,0.23,0.2,0.37,0.49,198,0.57,1,197
Highways,Odisha,Angul,82.5,41,0.48,0.23,1,0.72,0.34,0.93,0.23,0.71,202,0.65,1,287
Solar Parks,Karnataka,Bengaluru Urban,28.63,49,0.18,0.56,0,0.83,0.39,0.49,0.23,0.41,208,0.11,1,202
Industrial Corridors,Uttar Pradesh,Varanasi,121.71,217,0.72,0.55,0,0.82,0.9,0.26,0.59,0.93,171,0.06,1,186
Industrial Corridors,Karnataka,Ballari,22.93,23,0.92,0.56,1,0.17,0.79,0.81,0.2,0.9,201,0.19,1,274
Mining,Gujarat,Ahmedabad,19.2,15,0.58,0.96,0,0.77,0.85,0.87,0.41,0.65,173,0.33,0,0
Water Resources,Madhya Pradesh,Jabalpur,29.41,56,0.3,0.31,0,0.95,0.15,0.29,0.24,0.44,126,0.39,0,0
Urban Infrastructure,Uttar Pradesh,Lucknow,49.4,87,0.82,0.74,0,0.73,0.62,0.74,0.65,0.87,141,0.63,0,0
Railways,Madhya Pradesh,Gwalior,26.59,12,0.83,0.51,1,0.85,1.0,0.65,0.6,0.8,140,0.58,1,221
Industrial Corridors,Tamil Nadu,Tiruchirappalli,52.35,67,0.72,0.6,1,0.54,0.81,0.77,0.39,0.26,212,0.39,1,260
Water Resources,West Bengal,Murshidabad,24.3,53,0.62,0.79,1,0.39,0.21,0.81,0.17,0.56,217,0.27,1,249
Highways,Uttar Pradesh,Agra,34.05,44,0.84,0.32,0,0.71,0.71,0.69,0.24,0.94,196,0.24,1,229
Industrial Corridors,Karnataka,Mysuru,198.19,167,0.24,0.8,0,0.54,0.77,0.96,0.47,0.54,162,0.39,0,0
Mining,Gujarat,Surat,44.07,81,0.89,0.25,0,0.91,0.56,0.88,0.92,0.9,67,0.48,0,0
Urban Infrastructure,Rajasthan,Bhilwara,46.99,62,0.91,0.58,0,0.98,0.17,0.31,0.29,0.93,197,0.34,1,232
Industrial Corridors,Tamil Nadu,Tiruchirappalli,10.2,17,0.84,0.78,0,0.84,0.13,0.92,0.22,0.49,195,0.23,0,0
Mining,West Bengal,Hooghly,97.85,69,0.31,0.35,0,0.99,0.94,0.42,0.25,0.92,172,0.42,0,0
Solar Parks,Rajasthan,Jodhpur,77.72,153,0.83,0.8,1,0.41,0.33,0.75,0.69,0.3,181,0.38,1,244
Urban Infrastructure,Maharashtra,Aurangabad,18.7,36,0.52,0.33,1,0.91,0.44,0.86,0.87,0.32,123,0.31,1,232
Mining,Tamil Nadu,Coimbatore,76.51,69,0.61,0.82,1,0.4,0.82,0.49,0.12,0.41,144,0.5,0,0
Water Resources,Gujarat,Kutch,43.11,30,0.81,0.57,0,0.21,0.72,0.15,0.72,0.55,123,0.22,1,190
Industrial Corridors,Odisha,Jharsuguda,34.37,76,0.13,0.73,0,0.66,0.97,0.95,0.5,0.34,153,0.34,0,0
Solar Parks,Uttar Pradesh,Kanpur,93.02,120,0.41,0.92,1,0.51,0.18,0.17,0.79,0.46,199,0.61,1,232
Water Resources,Madhya Pradesh,Indore,21.98,26,0.79,0.52,0,0.93,0.74,0.41,0.43,0.28,179,0.48,1,180
Mining,Gujarat,Kutch,18.58,38,0.79,0.38,1,0.54,0.17,0.64,0.05,0.52,113,0.28,1,381
Mining,Uttar Pradesh,Kanpur,39.1,82,0.82,0.88,1,0.93,0.1,0.21,0.66,0.82,242,0.38,1,279
Water Resources,Rajasthan,Udaipur,50.53,81,0.24,0.33,0,0.17,0.21,0.85,0.78,0.65,167,0.29,1,170
Industrial Corridors,Madhya Pradesh,Ujjain,71.74,49,0.7,0.69,0,0.85,0.66,0.28,0.86,0.81,129,0.12,0,0
Urban Infrastructure,Bihar,Darbhanga,29.35,47,0.22,0.92,1,0.78,0.71,0.99,0.56,0.3,146,0.25,0,0
Solar Parks,Karnataka,Mysuru,16.78,46,0.77,0.73,0,0.75,0.49,0.92,0.16,0.5,135,0.57,1,298
Highways,Maharashtra,Aurangabad,250.35,396,0.31,0.35,0,0.42,0.14,0.64,0.38,0.23,170,0.33,1,212
Railways,Tamil Nadu,Salem,13.88,41,0.73,0.32,1,0.81,0.67,0.69,0.76,0.48,100,0.4,0,0
Urban Infrastructure,Gujarat,Kutch,34.61,71,0.49,0.4,0,0.53,0.18,0.58,0.49,0.66,173,0.16,0,0
Solar Parks,Maharashtra,Thane,61.79,109,0.94,0.51,1,0.74,0.23,0.45,0.68,0.63,197,0.26,1,311
Water Resources,Odisha,Angul,83.17,53,0.59,0.32,1,0.6,0.56,0.42,0.05,0.25,189,0.61,1,280
Mining,Uttar Pradesh,Varanasi,21.04,35,0.64,0.82,1,0.24,0.41,0.9,0.12,0.25,171,0.24,1,241
Water Resources,Uttar Pradesh,Agra,7.39,36,0.41,0.48,1,0.16,0.52,0.62,0.66,0.43,185,0.2,0,0
Solar Parks,Gujarat,Ahmedabad,20.65,24,0.72,0.93,1,0.43,0.67,0.84,0.31,0.78,177,0.08,0,0
Water Resources,West Bengal,Hooghly,65.96,72,0.52,0.86,1,0.94,0.24,0.56,0.4,0.22,207,0.11,1,228
Water Resources,West Bengal,Paschim Bardhaman,55.15,81,0.12,0.91,0,0.58,0.9,0.38,0.63,0.66,149,0.4,0,0
Railways,Bihar,Bhagalpur,56.61,119,0.62,0.43,0,0.82,0.6,0.18,0.15,0.34,118,0.45,1,308
Industrial Corridors,Karnataka,Dakshina Kannada,58.52,70,0.81,0.65,1,0.62,0.12,0.39,0.8,0.91,176,0.43,1,241
Railways,Madhya Pradesh,Ujjain,96.74,73,0.3,0.45,1,0.96,0.67,0.89,0.18,0.52,208,0.37,0,0
Highways,Odisha,Sundargarh,17.8,21,0.29,0.4,1,0.43,0.52,0.74,0.71,0.24,142,0.34,0,0
Highways,Maharashtra,Nashik,12.7,43,0.62,0.67,0,0.15,0.73,0.81,0.31,0.74,231,0.09,0,0
Railways,West Bengal,Murshidabad,44.54,69,0.8,0.84,1,0.8,0.81,0.8,0.28,0.56,177,0.55,0,0
Urban Infrastructure,Bihar,Patna,14.31,22,0.31,0.27,0,0.73,0.94,0.21,0.79,0.86,201,0.36,0,0
Urban Infrastructure,Bihar,Gaya,12.08,28,0.89,0.42,1,0.57,1.0,0.24,0.55,0.69,107,0.13,1,222
Water Resources,Gujarat,Rajkot,88.16,62,0.89,0.36,0,0.39,0.59,0.39,0.23,0.72,195,0.13,1,209
Water Resources,Odisha,Cuttack,40.46,45,0.27,0.82,0,0.27,0.61,0.37,0.05,0.78,181,0.36,1,196
Mining,Rajasthan,Jaipur,33.88,45,0.32,0.93,1,0.53,0.12,0.16,0.93,0.52,255,0.2,1,282
Highways,Madhya Pradesh,Ujjain,34.45,77,0.7,0.26,0,0.7,0.88,0.24,0.44,0.79,183,0.6,1,237
Mining,Karnataka,Mysuru,30.42,31,0.91,0.5,0,0.62,0.13,0.87,0.41,0.24,189,0.35,0,0
